Shit,Brand,Model,Version,Year,GOOD,BETTER,Column
,JAGUAR (DAIMLER) (Cont'd) ,XJ40 All incl Sovereign ,NA,1987-94 ,55457,N55 ,
,JAGUAR (DAIMLER) (Cont'd) ,XJ6 ,NA,1995- ,60038,N88 / DIN100 ,
,JAGUAR (DAIMLER) (Cont'd) ,XJ6 All incl Sovereign ,NA,1972-87 ,85D26R ,N52 ,
,JAGUAR (DAIMLER) (Cont'd) ,XJ6V12 ,NA,1972-87 ,85D26R ,N52 ,
,JAGUAR (DAIMLER) (Cont'd) ,XJR ,NA,1995- ,60038,N88 / DIN100 ,
,JAGUAR (DAIMLER) (Cont'd) ,XJSV12 ,NA,1991-95 ,56318,N66 ,
,JAGUAR (DAIMLER) (Cont'd) ,XK8 ,NA,1995- ,60038,N88 / DIN100 ,
,JAGUAR (DAIMLER) (Cont'd) ,XKR ,NA,10/2002- ,60038,DIN100 ,
,JAGUAR (DAIMLER) (Cont'd) ,XJ Sovereign ,NA,1997-2003 ,60038,N88 / DIN100 ,
,JAGUAR (DAIMLER) (Cont'd) ,S Type R ,NA,01/2002-12/2005 ,60038,DIN100 ,
,JAGUAR (DAIMLER) (Cont'd) ,X Type 2.1 V6 ,NA,09/2001-02/2005 ,56219,N55H ,
,JAGUAR (DAIMLER) (Cont'd) ,X Type 2.5 V6 ,NA,09/2001-02/2005 ,58014,N75 ,
,JAGUAR (DAIMLER) (Cont'd) ,X Type 3.0 V6 ,NA,09/2001-02/2005 ,58014,N75 ,
,JEEP ,Cherokee ,NA,1994-97 ,,AM58MF ,
,JEEP ,Cherokee Sports ,NA,2005- ,55458,N55RMF ,
,JEEP ,Cherokee Sports ,NA,1997-97 ,,AM58MF ,
,JEEP ,Cherokee Sports - Diesel ,NA,1997-2001 ,58014,N75 ,
,JEEP ,Cherokee Sports - Diesel ,NA,2002- ,,OPTIMA 34 ,
,JEEP ,Cherokee Sports - Petrol ,NA,01/2001-12/2004 ,CMF65AR or 22FR-520 ,N50 ,
,JEEP ,Cherokee KK Sport 3.7L ,NA,03/2011- ,,"AM58 10"" Case ",
,JEEP ,Cherokee WK Grand V6 ,NA,10/2011- ,LN4 ,AGM77 ,
,JEEP ,Cherokee WK Grand Diesel ,NA,10/2011- ,LN5 ,AGM88 ,
,JEEP ,Commander 6 Cyl ,NA,2006-09 ,60038,DIN100 ,
,JEEP ,Commander V8 ,NA,2009- ,60038,DIN100 ,
,JEEP ,Compass ,NA,01/2007- ,75D23R or 55D23R ,75D23R or 55D23R ,
,JEEP ,Compass ,NA,10/2011- ,,AM58 ,
,JEEP ,Grand Cherokee ,NA,1996,,AM58MF ,
,Grand Cherokee WK ,Grand Cherokee WK ,NA,,,AGM ,
,Grand Cherokee WK ,Grand Cherokee SRT8 ,NA,08/2006- ,58014,N75 ,
,Grand Cherokee WK ,Grand Cherokee Laredo ,NA,1997-12/1999 ,574.135,N66RMF ,
,Grand Cherokee WK ,Grand Cherokee Laredo ,NA,01/2000- ,56318,N66 ,
,Grand Cherokee WK ,Grand Cherokee ,NA,1999- ,56318,N66 ,
,Grand Cherokee WK ,Grand Cherokee ,NA,03/2003- ,60038,DIN100 ,
,Grand Cherokee WK ,Most Models ,NA,1974-85 ,N43MF ,N43MF ,
,Grand Cherokee WK ,Patriot ,NA,08/2007- ,,AM58MF ,
,Patriot Petrol ,Patriot Petrol ,NA,,,AM58 ,
,Patriot Petrol ,Patriot CRD Diesel ,NA,04/2007- ,,34 RED TOP OPTIMA ,
,Patriot Petrol ,Renegade ,NA,1982-85 ,CMF65AR or 22FR-520 ,N50 ,
,Patriot Petrol ,Wrangler JK 2.8 Diesel ,NA,2007- ,,31A OPTIMA ,
,Patriot Petrol ,Wrangler ,NA,1997-1998 ,,AM58R ,
,Patriot Petrol ,Wrangler ,NA,1998-2000 ,574.135,N66RMF ,
,Patriot Petrol ,Wrangler Sport V6 ,NA,03/2007- ,,AM58MF ,
,Patriot Petrol ,Wrangler Sport 3.8L Petrol ,NA,2001- ,,"AM58 10"" Case ",
,Wrangler CRD Sport ,Wrangler CRD Sport ,NA,,,31A OPTIMA ,
,Wrangler CRD Sport ,Wrangler Diesel ,NA,2007- ,,D31A OPTIMA ,
,KIA ,Carnival ,NA,09/1999- ,85D26L ,N53 ,
,KIA ,Carnival VQ ,NA,2006- ,105D31L ,N70ZZL ,
,KIA ,Carnival Diesel VQ ,NA,2009- ,SCM31 ,SCM31 ,
,KIA ,Carens ,NA,07/2000-12/2001 ,55457,N55 ,
,KIA ,Cerato ,NA,07/2004- ,75D23L or 55D23L ,75D23L or 55D23L ,
,KIA ,Credos ,NA,05/1998- ,55457,N55 ,
,KIA ,Magentis ,NA,08/2006- ,85D26L ,N53 ,
,KIA ,Mentor ,NA,12/1996-06/2000 ,55457,N55 ,
,KIA ,Optima ,NA,05/2001-07/2006 ,85D26L ,N53 ,
,KIA ,Optima Platinum GDi ,NA,01/2011- ,85D26L ,N53 ,
,KIA ,Pregio ,NA,08/2002-12/2005 ,105D31L ,N70ZZL (LEDGES) ,
,KIA ,Rio 4 Dr Sedan ,NA,07/2000- ,50D23L ,50D23L ,
,KIA ,Rondo ,NA,04/2008- ,75D23L or 55D23L ,75D23L or 55D23L ,
,KIA ,Shuma ,NA,01/2000-04/2001 ,55457,N55 ,
,KIA (Cont'd) ,Sorento ,NA,10/2004- ,85D26R ,N52 ,
,KIA (Cont'd) ,Sorento CRDi Diesel ,NA,10/2009- ,SCM31 ,SCM31 ,
,KIA (Cont'd) ,Soul Petrol ,NA,04/2009- ,,50D20L (LEDGES) ,
,KIA (Cont'd) ,Soul CRDi Diesel ,NA,04/2009- ,85D26L ,N53 ,
,KIA (Cont'd) ,Spectra ,NA,05/2001-06/2004 ,55457,N55 ,
,KIA (Cont'd) ,Sportage 4WD ,NA,1997-98 ,,AM58 ,
,KIA (Cont'd) ,Sportage 4WD ,NA,1999- ,55457,N55 ,
,KIA (Cont'd) ,Sportage 4WD ,NA,10/2000-09/2004 ,55458,N55RMF ,
,KIA (Cont'd) ,Sportage 4WD ,NA,10/2004- ,85D26L ,N53 ,
,KIA (Cont'd) ,Sportage 4WD CRDi ,NA,08/2007-07/2010 ,105D31L ,N70ZZL ,
,KIA (Cont'd) ,Sportage 4WD CRDi ,NA,08/2010- ,105D31L ,N70ZZL ,
,KIA (Cont'd) ,Sportage Petrol ,NA,2008/2010 ,75D23L or 55D23L ,75D23L or 55D23L ,
,LADA ,Cevaro ,NA,1983-95 ,CMF65AR or 22FR-520 ,N50 ,
,LADA ,Niva ,NA,1983-95 ,CMF65AR or 22FR-520 ,N50 ,
,LADA ,Samara ,NA,1983-95 ,CMF65AR or 22FR-520 ,N50 ,
,LANCIA ,Beta ,NA,1974-85 ,54316 / 55457 ,N44 / N55 ,
,LANCIA ,Flavia ,NA,1996-75 ,54316 / 55457 ,N44 / N55 ,
,LANDROVER ,Defender ,NA,1992-2000 ,31P-950 ,31P-950 ,
,LANDROVER ,Defender 110 (Petrol & Diesel) ,NA,1986-1992 ,CMF65AR or 22FR-520 ,N50 ,
,LANDROVER ,Defender 110 (Petrol & Diesel) ,NA,1992-2004 ,31P-950 ,31P-950 ,
,LANDROVER ,Defender 110 TD5 7 Extreme ,NA,1999-2004 ,60038,DIN100 ,
,LANDROVER ,Early series 1 & 2 Diesel (2x6 volt under seats ,NA,1948-1977 ,,N22Z X 2 ,
,LANDROVER ,Landrover (Petrol) - single 12 volt ,NA,1977-1984 ,105D31R ,N70ZZ ,
,LANDROVER ,Series 3 Diesel ,NA,1978-1984 ,31P-950 ,31-900 ,
,LANDROVER ,Discovery Petrol ,NA,1996-2004 ,85D26R ,N52 ,
,LANDROVER ,Discovery Diesel ,NA,1996-1998 ,85D26R ,N52 ,
,LANDROVER ,Discovery Petrol ,NA,1991-1995 ,85D26R ,N52 ,
,LANDROVER ,Discovery Series 2 Diesel & Petrol ,NA,1999-03/2005 ,105D31R ,N70ZZ ,
,LANDROVER ,Discovery Series 3 Petrol ,NA,04/2005- ,58014 / 60038 ,N75/ DIN100 ,
,LANDROVER ,Discovery Series 3 Diesel ,NA,01/2005- ,60038,DIN100 ,
,LANDROVER ,Freelander (Petrol & Diesel) ,NA,1998-2004 ,56318,N66 ,
,LANDROVER ,Freelander TD4 & V6 ,NA,11/2000-02/2004 ,58014,N75 ,
,LANDROVER ,Range Rover ,NA,1984-1995 ,85D26R ,N52 ,
,LANDROVER ,Range Rover Diesel ,NA,1990-1995 ,105D31R ,N70ZZ ,
,LANDROVER ,Range Rover Diesel ,NA,1996-1998 ,85D26R ,N52 ,
,LANDROVER ,Range Rover Diesel ,NA,1998-2003 ,60038,DIN100 ,
,LANDROVER ,Range Rover TD6 ,NA,2003-2004 ,60038,DIN100 ,
,LANDROVER ,Range Rover HSE 4.4 ,NA,08/2002-06/2005 ,60038,DIN100 ,
,LANDROVER ,Range Rover TD5 Extreme ,NA,2003-2004 ,31P-950 ,31P-950 ,
,LANDROVER ,Range Rover Vogue ,NA,2000-2004 ,60038,DIN100 ,
,LANDROVER ,Range Rover Vogue S/C V8 ,NA,02/2007- ,,DIN110 ,
,LEXUS ,ES300 ,NA,1992-2002- ,75D23L or 55D23L ,75D23L or 55D23L ,
,LEXUS ,ES300S ,NA,2003- ,75D23L or 55D23L ,75D23L or 55D23L ,
,LEXUS ,GS300 ,NA,1998- ,85D26L ,N53 ,
,LEXUS ,GS430 ,NA,03/2005- ,85D26L ,N53 ,
,LEXUS ,GS450h / GS460 ,NA,05/2006- current ,85D26L ,N53 ,
,LEXUS ,IS F ,NA,10/2008- ,85D26L ,N53 ,
,LEXUS ,IS200 ,NA,03/1999-10/2005 ,75D23L or 55D23L ,75D23L or 55D23L ,
,LEXUS ,IS250 ,NA,11/2005- ,85D26L ,N53 ,
,LEXUS ,IS300 ,NA,2002- ,75D23L or 55D23L ,75D23L or 55D23L ,
,LEXUS ,IS350 ,NA,10/2010- ,85D26L ,N53 ,
,LEXUS ,LS400 V8 ,NA,1990-95 ,105D31L ,N70ZZL ,
,LEXUS ,LS400 ,NA,1996- ,85D26L ,N53 ,
,LEXUS ,LS430 ,NA,2004- ,85D26L ,N53 ,
,LEXUS ,LS600 HL ,NA,11/2007- ,105D31L ,N70ZZL ,
,LEXUS ,LX470 Wagon ,NA,1998- ,85D26L ,N53 ,
,LEXUS ,SC430 ,NA,10/2001- ,56318,N66 ,
,LEXUS (Cont'd) ,RX330 ,NA,04/2003-02/2006 ,85D26L ,N53 ,
,LEXUS (Cont'd) ,RX350 ,NA,03/2006- ,85D26L ,N53 ,
,LEXUS (Cont'd) ,RX400h (Hybrid) ,NA,10/2006-05/2009 ,55B24LS ,NS60AL ,
,LEXUS (Cont'd) ,RX450h (Hybrid) ,NA,06/2009- ,,PS12550 (55AH) ,
,LEXUS (Cont'd) ,IS250 ,NA,8-Jun,85D26L ,N53 X 2 ,
,LEYLAND ,Austin 1800 MK1 & MK11 ,NA,1963-70 ,N43MF ,N43MF ,
,LEYLAND ,Austin Kimberly Tasman X6 ,NA,1970-73 ,N43MF ,N43MF ,
,LEYLAND ,Marina 4- and 6- Cyl ,NA,1972-75 ,N43MF ,N43MF ,
,LEYLAND ,Mini ,NA,1959-71 ,CMF65AR or 22FR-520 ,N50 ,
,LEYLAND ,Mini ,NA,1971-78 ,N43MF ,N43MF ,
,LEYLAND ,Mini Clubman ,NA,1971-78 ,N43MF ,N43MF ,
,LEYLAND ,Mini K ,NA,1969-71 ,N43MF ,N43MF ,
,LEYLAND ,Moke ,NA,1966-83 ,N43MF ,N43MF ,
,LEYLAND ,Moke Californian ,NA,1966-83 ,N43MF ,N43MF ,
,LEYLAND ,Morris 1100 ,NA,1966-83 ,N43MF ,N43MF ,
,LEYLAND ,Morris 1300 ,NA,1966-83 ,N43MF ,N43MF ,
,LEYLAND ,Morris 1500 ,NA,1966-83 ,N43MF ,N43MF ,
,LEYLAND ,P76 6- and 8- Cyl ,NA,1973-75 ,CMF65AL or 22F-520 ,N51 ,
,MAHINDRA ,Pick up All Models ,NA,2011,105D31R ,N70ZZ ,
,MASERATI ,All models Early ,NA,08/1995-09/2000 ,CMF65AR or 22FR-520 ,N50 ,
,MASERATI ,Quattroporte Sedan + Late Models ,NA,2000- ,56318,N66 ,
,MAZDA ,626,NA,1989,42B19LDF ,NS40ZAL ,
,MAZDA ,121,NA,1976-12/1997 ,42B19LDF ,NS40ZAL ,
,MAZDA ,121 Metro ,NA,10/1996-12/2000 ,42B19LDF ,NS40ZAL ,
,MAZDA ,121 Metro ,NA,01/2001-12/2002 ,42B19LDF ,NS40ZAL ,
,MAZDA ,2,NA,12/2002-05/2005 ,42B19LDF ,NS40ZAL ,
,MAZDA ,2,NA,06/2005- ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,3,NA,01/2004- ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,3 MZR CD Diesel ,NA,11/2009- ,85D26L ,N53 ,
,MAZDA ,323,NA,1977-80 ,40B19R ,NS40 ,
,MAZDA ,323,NA,1980-92 ,42B19LDF ,NS40ZAL ,
,MAZDA ,323,NA,1992-94 ,CMF65AL or 22F-520 ,N51 ,
,MAZDA ,6,NA,08/2002-12/2007 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,6,NA,12/2008- ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,6 MPS ,NA,10/2005- ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,6 MZR CD Diesel ,NA,03/2009- ,105D31L ,N70ZZL ,
,MAZDA ,929,NA,1994-97 ,,50D20LMF ,
,MAZDA ,323 Astina ,NA,1994-09/1998 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,323 Astina ,NA,09/1998-09/2003 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,323 Protégé ,NA,1994-96 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,323 Protégé ,NA,1996-09/1998 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,323 Protégé ,NA,09/1998-09/2003 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,626 4 Cyl ,NA,12/1978-12/1995 ,42B19LDF ,NS40ZAL ,
,MAZDA ,626 4 Cyl ,NA,07/1997-06/2002 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,626 6 Cyl ,NA,1992-94 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,626 6 Cyl ,NA,2000- ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,929 4 Cyl ,NA,1973-83 ,CMF65AR or 22FR-520 ,N50 ,
,MAZDA ,929 4 Cyl ,NA,1983-87 ,42B19LDF ,NS40ZAL ,
,MAZDA ,929 6 Cyl ,NA,1990-95 ,CMF65AL or 22F-520 ,N51 ,
,MAZDA ,929 HE ,NA,1996,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA ,B2200 Diesel (Bravo) ,NA,1980-95 ,105D31R ,N70ZZ ,
,MAZDA ,B2200 Petrol (Bravo) ,NA,1980-95 ,42B19LDF ,NS40ZAL ,
,MAZDA ,B4000 Bravo ,NA,10/2005-11/2006 ,56219,N55 ,
,MAZDA ,B2500 Bravo Diesel ,NA,11/202-11/2006 ,105D31R ,N70ZZ ,
,B2600 ,B2600 ,NA,,CMF65AR or 22FR-520 ,N50 / N52 ,
,B2600 ,BT50 B3000 Diesel ,NA,11/2006- ,105D31R ,N70ZZ ,
,MAZDA (Cont'd) ,BT50 B3000 Diesel ,NA,2011- ,58014,N75 ,
,MAZDA (Cont'd) ,Capella ,NA,1970-78 ,75D23R or 55D23R ,75D23R or 55D23R ,
,MAZDA (Cont'd) ,CX7 ,NA,11/2006- ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA (Cont'd) ,CX7 Diesel ,NA,10/2009- ,85D26L ,N53 ,
,MAZDA (Cont'd) ,CX9 FWD Wagon ,NA,12/2007- ,85D26L ,N53 ,
,MAZDA (Cont'd) ,E1300 ,NA,1978-83 ,40B19R ,NS40 ,
,MAZDA (Cont'd) ,E1400 ,NA,1984-86 ,40B19R ,NS40 ,
,MAZDA (Cont'd) ,E1600 ,NA,1978-83 ,40B19R ,NS40 ,
,MAZDA (Cont'd) ,E2000 ,NA,1984-12/1995 ,40B19L ,NS40L ,
,MAZDA (Cont'd) ,E2000 ,NA,01/1996-07/2006 ,40B19L ,NS40L ,
,MAZDA (Cont'd) ,Eunos 30X ,NA,11/1992-05/1996 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA (Cont'd) ,Eunos 500 ,NA,06/1996-09/1999 ,,AM58R ,
,MAZDA (Cont'd) ,800 (Miller engine) ,NA,06/1996-10/2000 ,85D26L ,N53 ,
,MAZDA (Cont'd) ,MPV ,NA,1993-95 ,CMF65AR or 22FR-520 ,N50 ,
,MAZDA (Cont'd) ,MPV ,NA,1998- ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA (Cont'd) ,MPV 4x4 Traveller ,NA,1996-97 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA (Cont'd) ,MX5 (Boot mount) ,NA,10/1989-08/2005 ,N43MF ,N43MF ,
,MAZDA (Cont'd) ,MX5 (Under bonnet) ,NA,09/2005- ,55B24LS ,NS60AL ,
,MAZDA (Cont'd) ,MX6 ,NA,1994-97 ,,50D20LMF ,
,MAZDA (Cont'd) ,MX6 4 Cyl & Turbo ,NA,1987-91 ,42B19LDF ,NS40ZAL ,
,MAZDA (Cont'd) ,MX6 6 Cyl ,NA,1991-95 ,CMF65AL or 22F-520 ,N51 ,
,MAZDA (Cont'd) ,Premacy ,NA,2001- ,,50D20LMF ,
,MAZDA (Cont'd) ,RX3 ,NA,1972-75 ,CMF65AL or 22F-520 ,N51 ,
,MAZDA (Cont'd) ,RX4 ,NA,1973-1978 ,CMF65AL or 22F-520 ,N51 ,
,MAZDA (Cont'd) ,RX5 ,NA,1976-1978 ,CMF65AL or 22F-520 ,N51 ,
,MAZDA (Cont'd) ,RX7 ,NA,03/1979-02/1992 ,CMF65AL or 22F-520 ,N51 ,
,MAZDA (Cont'd) ,RX7 ,NA,03/1992-02/1997 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA (Cont'd) ,RX8 ,NA,08/2003- ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA (Cont'd) ,Savanna 1600 ,NA,1972-78 ,40B19R ,NS40 ,
,MAZDA (Cont'd) ,Savanna 808 ,NA,1972-78 ,40B19R ,NS40 ,
,MAZDA (Cont'd) ,Traveller ,NA,1983-89 ,40B19R ,NS40 ,
,MAZDA (Cont'd) ,Triute 4 Cyl ,NA,02/2001-01/2008 ,75D23L or 55D23L ,75D23L or 55D23L ,
,MAZDA (Cont'd) ,Tribute 6 Cyl ,NA,02/2001-01/2008 ,85D26L ,N53 ,
,MAZDA (Cont'd) ,SOME MODELS (STOP START) ,NA,2010- ,,EFB ONLY ,
,MERCEDES-BENZ ,230,NA,1974-95 ,56318,N66 ,
,MERCEDES-BENZ ,250,NA,1974-95 ,56318,N66 ,
,MERCEDES-BENZ ,250,NA,1968-78 ,56318,N66 ,
,MERCEDES-BENZ ,260,NA,1976-96 ,56318,N66 ,
,MERCEDES-BENZ ,280,NA,1973-86 ,56318,N66 ,
,MERCEDES-BENZ ,300,NA,1976-96 ,56318,N66 ,
,MERCEDES-BENZ ,320,NA,1976-96 ,56318,N66 ,
,MERCEDES-BENZ ,400,NA,1973-80 ,56318,N66 ,
,MERCEDES-BENZ ,412,NA,1998- ,56318,N66 ,
,MERCEDES-BENZ ,108D ,NA,1998- ,56318,N66 ,
,MERCEDES-BENZ ,180E ,NA,1991-93 ,55457 / 56318 ,N55 / N66 ,
,MERCEDES-BENZ ,190D ,NA,1986-87 ,58515 / 60038 ,N88 / DIN100 ,
,MERCEDES-BENZ ,190E ,NA,1984-94 ,55457 / 56318 ,N55 / N66 ,
,MERCEDES-BENZ ,190E 2.6 ,NA,1988-91 ,55457 / 56318 ,N55 / N66 ,
,MERCEDES-BENZ ,230.4,NA,11/1973-11/1976 ,56318,N66 ,
,MERCEDES-BENZ ,230E ,NA,07/1981-02/1993 ,56318,N66 ,
,MERCEDES-BENZ ,230GE ,NA,1986-89 ,56318,N66 ,
,MERCEDES-BENZ ,240D ,NA,1974-82 ,58515 / 60038 ,N88 / DIN100 ,
,MERCEDES-BENZ ,250C ,NA,1968-78 ,56318,N66 ,
,MERCEDES-BENZ ,250E ,NA,1668-78 ,56318,N66 ,
,MERCEDES-BENZ ,280CE ,NA,1973-86 ,56318,N66 ,
,MERCEDES-BENZ ,280E ,NA,1973-86 ,56318,N66 ,
,MERCEDES-BENZ ,280SE ,NA,1973-86 ,56318,N66 ,
,MERCEDES-BENZ ,280SEL ,NA,1973-86 ,56318,N66 ,
,MERCEDES-BENZ ,280TE ,NA,1973-86 ,56318,N66 ,
,MERCEDES-BENZ ,300CE ,NA,1976-96 ,56318,N66 ,
,MERCEDES-BENZ ,300D ,NA,1976-96 ,56318,N66 ,
,MERCEDES-BENZ ,300E ,NA,1976-96 ,56318,N66 ,
,MERCEDES-BENZ ,300GD ,NA,1983-89 ,58515 / 60038 ,N88 / DIN100 ,
,MERCEDES-BENZ ,300SE ,NA,1976-96 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,300SEL ,NA,1976-96 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,380SEC ,NA,1981-86 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,380SEL ,NA,1981-86 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,380SL ,NA,1981-86 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,400S ,NA,1973-80 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,400SE ,NA,1973-80 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,450SEL ,NA,1976-80 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,450SLC ,NA,1976-80 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,560SEC ,NA,1986-92 ,58515 / 60038 ,N88 / DIN100 ,
,MERCEDES-BENZ (Cont'd) ,560SEC ,NA,1986-92 ,58515 / 60038 ,N88 / DIN100 ,
,MERCEDES-BENZ (Cont'd) ,560SEL ,NA,1986-92 ,58515 / 60038 ,N88 / DIN100 ,
,MERCEDES-BENZ (Cont'd) ,560sl ,NA,1986-92 ,58515 / 60038 ,N88 / DIN100 ,
,MERCEDES-BENZ (Cont'd) ,A150 169 PETROL ,NA,2004-2009 ,AGM70 ,AGM70H ,
,MERCEDES-BENZ (Cont'd) ,A160 Hatch 1.6ltr ,NA,1998- ,55457,N55 ,
,MERCEDES-BENZ (Cont'd) ,A170 ,NA,2004-2009 ,AGM70 ,AGM70H ,
,MERCEDES-BENZ (Cont'd) ,A200 (W169) Under floor ,NA,05/2005- ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,C180 ,NA,1997-98 ,58515 / 60038 ,N88 / DIN100 ,
,MERCEDES-BENZ (Cont'd) ,C200 ,NA,1994- ,55457 / 56318 ,N55 / N66 ,
,MERCEDES-BENZ (Cont'd) ,C200 ,NA,1997- ,58515 / 60038 ,N88 / DIN100 ,
,MERCEDES-BENZ (Cont'd) ,C200 204 PETROL ,NA,2009-2013 ,LN2 ,AGM60 ,
,MERCEDES-BENZ (Cont'd) ,C200 Kompressor ,NA,11/2000-02/2002 ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,C200 Kompressor ,NA,10/2002- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,C200 Kompressor ,NA,2007-2010 ,AGM70 ,AGM70H ,
,MERCEDES-BENZ (Cont'd) ,C220 W203 CDI ,NA,03/2001-06/2007 ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,C220 W204 CDI ,NA,07/2007- ,57412,N66H ,
,MERCEDES-BENZ (Cont'd) ,C230 Kompressor ,NA,2000- ,57412,N66H ,
,MERCEDES-BENZ (Cont'd) ,C240 ,NA,1997-98 ,58515 / 60038 ,N88 / DIN100 ,
,MERCEDES-BENZ (Cont'd) ,C250 ,NA,1994- ,55457 / 56318 ,N55 / N66 ,
,MERCEDES-BENZ (Cont'd) ,C250 ,NA,1997-98 ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,C250 CGI ,NA,01/2010- ,56219,N55H ,
,MERCEDES-BENZ (Cont'd) ,C250D ,NA,1998- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,C280 ,NA,1994- ,55457 / 56318 ,N55 / N66 ,
,MERCEDES-BENZ (Cont'd) ,CLK200 ,NA,1997- ,55457,N55 ,
,MERCEDES-BENZ (Cont'd) ,CLK230 Coupe ,NA,10/1997-02/2002 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,CLK320 ,NA,1998- ,55457,N55 ,
,MERCEDES-BENZ (Cont'd) ,CLK500 ,NA,2002,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,CLK63 AMG ,NA,09/2006- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,E220 ,NA,1974-95 ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,E220 ,NA,1994- ,55457,N55 ,
,MERCEDES-BENZ (Cont'd) ,E220 ,NA,1997-98 ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,E230 ,NA,02/1996-05/2008 ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,E240 Classic ,NA,1998- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,E270 Diesel ,NA,2002,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,E280 ,NA,08/1993-02/1996 ,55457,N55 ,
,MERCEDES-BENZ (Cont'd) ,E280 ,NA,02/2005- ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,E320 ,NA,1997-98 ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,MB100 / MB140 Van ,NA,2002- ,105D31L ,N70ZZL ,
,MERCEDES-BENZ (Cont'd) ,ML270 4X4 ,NA,02/2000- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,ML300 4X4 Cdi Diesel ,NA,12/2009- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,ML320 4X4 ,NA,09/1998- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,ML320 ,NA,2005-2009 ,LN5 ,AGM95 ,
,MERCEDES-BENZ (Cont'd) ,ML350 4X4 ,NA,01/2004- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,ML350 ,NA,2005-2011 ,LN5 ,AGM95 ,
,MERCEDES-BENZ (Cont'd) ,ML63 AMG ,NA,2006-2010 ,LN5 ,AGM95 ,
,MERCEDES-BENZ (Cont'd) ,S280 ,NA,1998- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,S320 ,NA,1998- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,S420 ,NA,1998- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,S430 ,NA,04/1999-02/2006 ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,S500 ,NA,1993- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,S600 ,NA,1998- ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,SL280 ,NA,11/1995-04/1999 ,60038,DIN100 ,
,MERCEDES-BENZ (Cont'd) ,SL500 ,NA,1993- ,56318,N66 ,
,MERCEDES-BENZ (Cont'd) ,SL500 ,NA,1993- ,56318,N66 ,
